timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168445.558,0.000,-46.387,-0.488,-96.680,73.730
1711168445.562,0.000,-43.457,-0.488,-76.660,87.891
1711168445.566,0.000,-42.969,1.953,-96.191,-0.977
1711168445.570,0.000,-40.527,6.348,-86.426,17.578
1711168445.574,0.000,-37.598,5.859,-54.199,61.523
1711168445.578,0.000,-40.527,7.812,-38.086,57.129
1711168445.582,0.000,-44.434,11.719,-32.227,20.996
1711168445.586,0.000,-43.945,9.277,-9.766,50.293
1711168445.590,0.000,-42.480,9.277,-5.859,43.457
1711168445.593,0.000,-40.527,10.254,-11.719,21.484
1711168445.597,0.000,-35.645,6.836,-1.465,82.031
1711168445.601,0.000,-25.391,3.418,-4.883,66.406
1711168445.605,-239.746,-25.879,6.348,5.371,-9.766
1711168445.609,-250.977,-24.902,11.230,25.391,29.297
1711168445.613,-231.445,-21.484,17.578,38.086,75.684
1711168445.617,-209.961,-21.973,29.297,50.293,22.461
1711168445.621,-195.801,-20.508,29.785,47.363,6.348
1711168445.625,-206.543,-24.902,24.414,53.711,17.090
1711168445.629,-224.121,-25.391,25.879,76.660,-15.137
1711168445.633,-236.816,-22.461,28.809,61.035,43.945
1711168445.636,-250.488,-25.391,30.762,54.199,65.918
1711168445.640,-287.598,-25.879,29.297,58.594,34.668
1711168445.644,-304.688,-19.043,29.785,62.500,33.203
1711168445.648,-301.758,-17.090,31.738,62.500,23.926
1711168445.652,-298.828,-18.066,0.000,41.016,-2.930
1711168445.656,-318.359,-11.719,0.000,43.945,-8.301
1711168445.660,-337.891,-12.695,0.000,62.012,-11.719
1711168445.664,-282.227,-20.508,0.000,51.758,43.457
1711168445.668,-208.984,-24.902,0.000,61.523,67.871
1711168445.672,-192.871,-28.809,0.000,79.590,39.551
1711168445.675,-216.797,-20.996,0.000,84.473,93.750
1711168445.679,-186.523,-7.324,0.000,85.938,49.316
1711168445.683,-88.867,-6.348,0.000,71.289,36.133
1711168445.687,-81.543,-4.883,0.000,64.941,72.754
1711168445.691,-121.094,-7.812,0.000,93.750,68.848
1711168445.695,-94.727,-4.883,0.000,88.867,54.688
1711168445.699,51.758,4.883,41.504,76.172,54.688
1711168445.703,104.980,3.906,39.551,106.934,38.086
1711168445.707,83.008,3.906,33.203,92.773,42.969
1711168445.711,79.102,5.859,26.855,84.961,74.219
